time,sfc,reqps,max_cpu,max_memory,total_link_score,max_link_score,total_delay,generation,individual,ar,real_reqps,latency
0,sfc0-0,1.0,0.010501891374588013,0.19257290959358214,75.5,10.5,24,0,0,0.40625,0.0,0.0
0,sfc0-1,1.0,0.010501891374588013,0.19257290959358214,75.0,10.5,20,0,0,0.40625,1.0,143.598799
0,sfc0-2,1.0,0.008576124906539917,0.166083487868309,64.0,10.5,22,0,0,0.40625,0.0,0.0
0,sfc0-3,1.0,0.010501891374588013,0.19257290959358214,83.5,10.5,20,0,0,0.40625,0.0,0.0
0,sfc0-4,1.0,0.008485082536935806,0.2406848579645157,77.5,10.5,16,0,0,0.40625,1.0,87.269096
0,sfc0-5,1.0,0.008312948048114777,0.17449258267879486,83.5,10.5,20,0,0,0.40625,0.0,0.0
0,sfc0-6,1.0,0.010501891374588013,0.19257290959358214,67.0,10.5,18,0,0,0.40625,1.0,94.076941
0,sfc0-7,1.0,0.008576124906539917,0.166083487868309,74.5,10.5,22,0,0,0.40625,1.0,103.462722
0,sfc1-0,1.0,0.010501891374588013,0.2406848579645157,90.5,10.5,32,0,0,0.40625,0.0,0.0
0,sfc1-1,1.0,0.009188545867800713,0.18236143589019777,62.5,10.5,22,0,0,0.40625,1.0,117.123482
0,sfc1-2,1.0,0.005073836073279381,0.13779168725013732,68.5,10.5,24,0,0,0.40625,1.0,172.390502
0,sfc1-3,1.0,0.009188545867800713,0.2406848579645157,93.5,10.5,30,0,0,0.40625,1.0,133.91899
0,sfc1-4,1.0,0.008485082536935806,0.2406848579645157,63.0,10.5,16,0,0,0.40625,1.0,120.573607
1,sfc0-0,1.0,0.010501891374588013,0.19257290959358214,75.5,10.5,24,0,0,0.40625,1.0,92.437451
1,sfc0-1,1.0,0.010501891374588013,0.19257290959358214,75.0,10.5,20,0,0,0.40625,2.0,51.6485035
1,sfc0-2,1.0,0.008576124906539917,0.166083487868309,64.0,10.5,22,0,0,0.40625,1.0,96.497537
1,sfc0-3,1.0,0.010501891374588013,0.19257290959358214,83.5,10.5,20,0,0,0.40625,2.0,62.379199
1,sfc0-4,1.0,0.008485082536935806,0.2406848579645157,77.5,10.5,16,0,0,0.40625,1.0,34.668418
1,sfc0-5,1.0,0.008312948048114777,0.17449258267879486,83.5,10.5,20,0,0,0.40625,1.0,86.90832
